seqnames	start	end	width	strand	length	identity	score	info	biallelic	omim_ddd	pRec	allgenescoding	allgenes	numallgenes	numcodinggenes	name	freq	freqCMA
chr16	66934736	66947783	13048	*	2412	0.9402985074626866	683	2kb_94%				CES2	CES2	1	1	NA	NA	NA
chr3	129375658	129486719	111062	*	12193	0.934798654965964	682	12kb_93.5%	IFT122	IFT122	EFCAB12	IFT122,EFCAB12,MBD4	IFT122,RPL32P3,EFCAB12,SNORA7B,MBD4	5	3	NA	NA	NA
chr5	141101828	141246757	144930	*	1127	0.940550133096717	682	1kb_94.1%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8,PCDHB9	PCDHB16,PCDHB17P,PCDHB18P,PCDHB19P,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8,PCDHB9	17	14	NA	NA	NA
chr5	141101925	141183835	81911	*	1046	0.9407265774378585	682	1kb_94.1%				PCDHB16,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8	PCDHB16,PCDHB17P,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8	8	7	NA	NA	NA
chr7	30284734	32727949	2443216	*	14567	0.9551040021967461	682	15kb_95.5%	GHRHR	GARS1,GHRHR,AQP1,PDE1C	AVL9,PDE1C	NEUROD6,NOD1,PPP1R17,LSM5,GGCT,MINDY4,ZNRF2,CRHR2,ADCYAP1R1,ITPRID1,AVL9,GARS1,INMT-MINDY4,GHRHR,INMT,AQP1,PDE1C	NEUROD6,NOD1,PPP1R17,LSM5,GGCT,MINDY4,ZNRF2,DPY19L1P1,CRHR2,ADCYAP1R1,ITPRID1,AVL9,MIR550A1,MIR550B1,SNX2P2,GARS1,INMT-MINDY4,GHRHR,GARS1-DT,LINC01176,SLC25A5P5,INMT,AQP1,PDE1C	24	17	NA	NA	NA
chr9	5318053	5393023	74971	*	10769	0.9352771845110966	682	11kb_93.5%				RLN1,PLGRKT	RLN1,PLGRKT	2	2	NA	NA	NA
chr19	22177510	22970488	792979	*	49520	0.9195072697899839	682	50kb_92%				ZNF98,ZNF99,ZNF676,ZNF492,ZNF723,ZNF729	ZNF209P,ZNF98,ZNF99,ZNF676,ZNF492,LINC01785,ZNF723,ZNF729,ZNF849P,RPL34P34,RPL34P33,VN1R87P,VN1R88P,RN7SL860P,RNU6-1179P,BNIP3P30,BNIP3P31,BNIP3P32,BNIP3P33,BNIP3P34,BNIP3P35,LINC01233,GOLGA2P9,RAD54L2P1	24	6	NA	NA	NA
chr1	180967720	181060227	92508	*	2026	0.93928923988154	681	2kb_93.9%				STX6,MR1	STX6,MR1	2	2	NA	NA	NA
chr5	141123196	141176612	53417	*	2219	0.9396124380351509	681	2kb_94%				PCDHB4,PCDHB5,PCDHB6,PCDHB7	PCDHB17P,PCDHB4,PCDHB5,PCDHB6,PCDHB7	5	4	NA	NA	NA
chr5	141188541	141211826	23286	*	2208	0.9393115942028986	681	2kb_93.9%				PCDHB10,PCDHB11,PCDHB12,PCDHB9	PCDHB10,PCDHB11,PCDHB12,PCDHB9	4	4	NA	NA	NA
chr17	26866249	27463916	597668	*	4958	0.9388866478418717	681	5kb_93.9%				WSB1,KSR1	TUFMP1,WSB1,RPS16P8,RPL34P31,VN1R71P,MIR4522,TBC1D3P5,PDLIM1P3,GTF2IP6,SYPL1P2,KSR1	11	2	NA	NA	NA
chr19	21908259	22922671	1014413	*	32167	0.9302079771194081	681	32kb_93%				ZNF208,ZNF98,ZNF99,ZNF257,ZNF676,ZNF492,ZNF723,ZNF729	ZNF208,ZNF209P,ZNF98,ZNF99,ZNF257,ZNF676,ZNF492,LINC01785,PCGF7P,ZNF723,ZNF729,ZNF849P,RPL34P34,RPL34P33,VN1R85P,VN1R87P,VN1R88P,ZNF92P2,RN7SL860P,RNU6-1179P,BNIP3P28,BNIP3P29,BNIP3P30,BNIP3P31,BNIP3P32,BNIP3P33,BNIP3P34,BNIP3P35,LINC01233,GOLGA2P9,MTDHP2,MTDHP5,RAD54L2P1	33	8	NA	NA	NA
chr4	38796518	38827145	30628	*	1032	0.939922480620155	681	1kb_94%				TLR1,TLR6	TLR1,TLR6	2	2	NA	NA	NA
chr3	185909184	185990685	81502	*	1164	0.9544673539518901	680	1kb_95.4%				TRA2B	TRA2B,NMRAL2P	2	1	NA	NA	NA
chr5	141096040	141237524	141485	*	2107	0.9387755102040817	680	2kb_93.9%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB2,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8,PCDHB9	PCDHB16,PCDHB17P,PCDHB18P,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB2,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8,PCDHB9	16	14	NA	NA	NA
chr5	141176403	141246814	70412	*	2074	0.9392478302796529	680	2kb_93.9%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15,PCDHB8,PCDHB9	PCDHB16,PCDHB18P,PCDHB19P,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15,PCDHB8,PCDHB9	11	9	NA	NA	NA
chr5	141200949	141246753	45805	*	1123	0.9394479073909172	680	1kb_93.9%				PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15	PCDHB18P,PCDHB19P,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15	7	5	NA	NA	NA
chr10	47581107	50707685	3126579	*	3816	0.9871593291404612	680	4kb_98.7%	SLC18A3,CHAT,ERCC6	SLC18A3,CHAT,ERCC6	WASHC2A,OGDHL,C10orf71,ERCC6	SLC18A3,ASAH2,CHAT,FAM170B,DRGX,LRRC18,WASHC2A,AGAP6,TIMM23B,FAM25C,OGDHL,VSTM4,C10orf71,TMEM273,C10orf53,FRMPD2,WDFY4,SGMS1,ARHGAP22,ERCC6,TIMM23B-AGAP6,NPY4R2,MAPK8,PARG	SLC18A3,SLC9A3P1,ASAH2,MAPK6P6,CHAT,FAM170B,DRGX,LRRC18,WASHC2A,PTPN20CP,AGAP6,TIMM23B,FAM25C,CTSLP4,BMS1P7,AGAP12P,CTSLP2,OGDHL,VSTM4,C10orf71,TMEM273,C10orf53,FRMPD2,WDFY4,SGMS1,ARHGAP22,SLC9A3P3,SHLD2P3,ERCC6,RPL35AP24,RPL13AP19,RPL21P89,RPS6P14,MIR4294,ARHGAP22-IT1,RNA5SP315,RNA5SP317,RHEBP2,FAM170B-AS1,C10orf71-AS1,TIMM23B-AGAP6,FAM21EP,DYNC1I2P1,SHQ1P1,BEND3P1,NUTM2HP,RNU7-107P,RN7SL453P,SGMS1-AS1,SNORA74C-2,HMGB1P50,NPY4R2,LINC02675,MAPK8,PARG	55	24	NA	NA	NA
chr12	27063978	27575947	511970	*	7078	0.9415089008194405	680	7kb_94.2%			PPFIBP1	MED21,STK38L,ARNTL2,SMCO2,C12orf71,PPFIBP1	MED21,STK38L,ARNTL2,SMCO2,C12orf71,ARNTL2-AS1,RARS1P1,PPFIBP1	8	6	NA	NA	NA
chr16	28386272	29422363	1036092	*	102070	0.9801606740472225	680	102kb_98%	TUFM,CD19,LAT,CLN3,ATP2A1	TUFM,CD19,LAT,CLN3,ATP2A1	APOBR,RABEP2	SULT1A1,SULT1A2,TUFM,CD19,LAT,IL27,CLN3,APOBR,RABEP2,SGF29,NFATC2IP,EIF3CL,NUPR1,SH2B1,SPNS1,ATXN2L,EIF3C,NPIPB7,NPIPB11,NPIPB8,NPIPB9,ATP2A1	SULT1A1,SULT1A2,TUFM,CD19,LAT,IL27,CLN3,APOBR,RABEP2,SGF29,NFATC2IP,EIF3CL,NUPR1,SH2B1,SPNS1,ATXN2L,SNX29P2,EIF3C,NPIPB7,CDC37P1,CDC37P2,NPIPB11,NPIPB10P,NPIPB8,RRN3P2,MIR4721,MIR4517,NPIPB9,MIR6862-1,MIR6862-2,ATP2A1-AS1,ATP2A1	32	22	NA	NA	NA
chr2	108686257	109828871	1142615	*	81929	0.9802878101771045	679	82kb_98%	EDAR	EDAR,RANBP2		SEPTIN10,SH3RF3,SOWAHC,CCDC138,EDAR,RGPD5,LIMS1,RANBP2	SEPTIN10,SH3RF3,SOWAHC,CCDC138,EDAR,RGPD5,RPL22P11,RPL10P5,RPL39P16,RPL37P12,MIR4266,MIR4265,SNRPGP9,SH3RF3-AS1,BMS1P19,SRSF3P6,LIMS1,RANBP2	18	8	NA	NA	NA
chr5	141176324	141201004	24681	*	2159	0.9383974062065771	679	2kb_93.8%				PCDHB16,PCDHB10,PCDHB11,PCDHB7,PCDHB8,PCDHB9	PCDHB16,PCDHB10,PCDHB11,PCDHB7,PCDHB8,PCDHB9	6	6	NA	NA	NA
chr14	94361177	94369230	8054	*	1308	0.9388379204892966	679	1kb_93.9%				SERPINA2	SERPINA2	1	1	NA	NA	NA
chr7	65944037	65999456	55420	*	6302	0.9358933671850206	678	6kb_93.6%	GUSB	GUSB	GUSB	VKORC1L1,GUSB	VKORC1L1,GUSB	2	2	NA	NA	NA
chr10	35960369	37403426	1443058	*	45570	0.9267281105990783	678	46kb_92.7%				ANKRD30A	ANKRD30A,NAMPTP1,VN1R53P,MTND4P18,MTND5P17,MKNK2P1,ARL6IP1P2,TMEM161BP1,RN7SL314P,RNU6-811P,LINC00993	11	1	NA	NA	NA
chr19	46213817	46232974	19158	*	2572	0.937402799377916	678	3kb_93.7%				IGFL1	IGFL1,RPL12P41	2	1	NA	NA	NA
chr5	141151473	141210129	58657	*	1101	0.9382379654859219	677	1kb_93.8%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB6,PCDHB7,PCDHB8,PCDHB9	PCDHB16,PCDHB17P,PCDHB10,PCDHB11,PCDHB12,PCDHB6,PCDHB7,PCDHB8,PCDHB9	9	8	NA	NA	NA
chr5	141174089	141183813	9725	*	1059	0.9376770538243626	676	1kb_93.8%				PCDHB16,PCDHB7,PCDHB8	PCDHB16,PCDHB7,PCDHB8	3	3	NA	NA	NA
chr5	141183813	141246832	63020	*	1052	0.9372623574144486	676	1kb_93.7%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15,PCDHB9	PCDHB16,PCDHB18P,PCDHB19P,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15,PCDHB9	10	8	NA	NA	NA
chr20	23751463	23890116	138654	*	5116	0.9353010164190774	676	5kb_93.5%				CST2,CST5	CST2,CST5,CSTP2	3	2	NA	NA	NA
chr2	232323703	232417663	93961	*	5716	0.939293212036389	675	6kb_93.9%	DIS3L2	DIS3L2		DIS3L2,ALPP,ALPG	ECEL1P1,ECEL1P3,ECEL1P2,DIS3L2,ALPP,ALPG,NRBF2P6	7	3	NA	NA	NA
chr5	141123111	141193668	70558	*	1187	0.93681550126369	675	1kb_93.7%				PCDHB16,PCDHB10,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8,PCDHB9	PCDHB16,PCDHB17P,PCDHB10,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8,PCDHB9	9	8	NA	NA	NA
chr6	32049262	32067653	18392	*	1015	0.9369458128078818	675	1kb_93.7%	TNXB	TNXB		TNXB	TNXB	1	1	NA	NA	NA
chr6	32049277	32055858	6582	*	1913	0.9362258233141663	674	2kb_93.6%	TNXB	TNXB		TNXB	TNXB	1	1	NA	NA	NA
chr8	7596999	12344083	4747085	*	478726	0.9589681780392124	674	479kb_95.9%	RP1L1,FDFT1	BLK,RP1L1,FDFT1,GATA4	MTMR9	BLK,TNKS,MTMR9,PPP1R3B,SLC35G5,FAM167A,RP1L1,DEFB103A,MFHAS1,CLDN23,DEFB107A,DEFB105A,DEFB106A,DEFB130A,DEFB104A,SOX7,NEIL2,ERI1,CTSB,PRAG1,DEFB4A,XKR6,FAM86B1,PINX1,PRSS55,FAM90A8P,FAM90A9P,FAM90A10P,FAM90A14P,FAM90A16P,FAM90A17P,FAM90A18P,FAM90A19P,ZNF705B,C8orf74,DEFB134,DEFB135,ZNF705D,SPAG11A,DEFB136,USP17L2,FDFT1,USP17L3,USP17L7,USP17L8,PRSS51,DEFB130B,GATA4,PRR23D2,MSRA	RNU7-55P,BLK,TNKS,MTMR9,OR7E96P,PPP1R3B,LINC00208,LINC00529,SLC35G5,TDH,FAM167A-AS1,FAM167A,RP1L1,DEFB103A,MFHAS1,CLDN23,DEFB107A,DEFB105A,DEFB106A,DEFB108A,DEFB130A,DEFB104A,SOX7,FAM66E,NEIL2,ERI1,FAM66D,CTSB,PRAG1,DEFB108D,MIR124-1HG,DEFB4A,XKR6,FAM86B1,PINX1,DEFB108E,PRSS55,DEFB109D,OR7E158P,OR7E161P,OR7E154P,MIR124-1,FAM85B,C8orf49,FAM90A2P,FAM90A8P,FAM90A9P,FAM90A10P,FAM90A11P,FAM90A12P,FAM90A14P,FAM90A16P,FAM90A17P,FAM90A18P,FAM90A19P,FAM90A24P,ZNF705B,C8orf74,SUB1P1,DEFB134,DEFB135,MIR597,MIR598,ZNF705D,SPAG11A,DEFB136,USP17L2,MIR548I3,MIR1322,FDFT1,RPS3AP31,RPL19P13,USP17L3,USP17L7,USP17L8,PRSS51,PRSS52P,DEFB131C,DEFB131D,MIR4286,DEFB131E,DEFB130B,GATA4,MIR4660,RNA5SP252,RNA5SP253,RNA5SP254,DEFB109C,FAM86B3P,ALG1L11P,ALG1L13P,RN7SL178P,RN7SL293P,RNU6-526P,RNU6-682P,RNU6-729P,RNU6-1084P,RNU6-1151P,ENPP7P12,ENPP7P1,PRR23D2,SNRPCP17,RPL10P19,HSPD1P2,PRR23D3P,MSRA	106	50	8p23.1	10.08	134.5
chr5	141183810	141201025	17216	*	1064	0.9360902255639098	673	1kb_93.6%				PCDHB16,PCDHB10,PCDHB11,PCDHB9	PCDHB16,PCDHB10,PCDHB11,PCDHB9	4	4	NA	NA	NA
chr7	134524920	134559641	34722	*	20436	0.9258661186142102	672	20kb_92.6%				AKR1B15,AKR1B10	AKR1B15,AKR1B10	2	2	NA	NA	NA
chr16	3052157	3071790	19634	*	4659	0.9336767546683837	672	5kb_93.4%				MMP25,IL32	MMP25,IL32,RNU1-125P,MMP25-AS1	4	2	NA	NA	NA
chr2	232329018	232441282	112265	*	8829	0.9358930796239665	671	9kb_93.6%	DIS3L2	DIS3L2		DIS3L2,ALPP,ALPG	ECEL1P1,ECEL1P3,ECEL1P2,DIS3L2,ALPP,ALPG,NRBF2P6	7	3	NA	NA	NA
chr5	141101742	141151344	49603	*	1229	0.9349064279902359	671	1kb_93.5%				PCDHB3,PCDHB4,PCDHB5,PCDHB6	PCDHB3,PCDHB4,PCDHB5,PCDHB6	4	4	NA	NA	NA
chr5	141212112	141246801	34690	*	2133	0.9343647444913268	671	2kb_93.4%				PCDHB12,PCDHB13,PCDHB14,PCDHB15	PCDHB18P,PCDHB19P,PCDHB12,PCDHB13,PCDHB14,PCDHB15	6	4	NA	NA	NA
chr17	22086140	22565981	479842	*	9911	0.9302794874382	671	10kb_93%				MTRNR2L1	UBBP4,FAM27E5,NMTRS-TGA3-1,MTRNR2L1,FTLP13,MTND1P15,MTND2P13,MTATP6P3,MTCYBP13,MTCO3P13,MTND6P35,LINC02002	12	1	NA	NA	NA
chr5	141123186	141183750	60565	*	1115	0.9345291479820628	670	1kb_93.5%				PCDHB16,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8	PCDHB16,PCDHB17P,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8	7	6	NA	NA	NA
chr17	56872593	56875021	2429	*	1255	0.9346613545816733	670	1kb_93.5%			TRIM25	TRIM25	TRIM25	1	1	NA	NA	NA
chr16	15386327	15411070	24744	*	5412	0.9318181818181818	669	5kb_93.2%				MPV17L	MPV17L	1	1	NA	NA	NA
chr17	60004553	60096247	91695	*	1320	0.9340909090909091	669	1kb_93.4%				HEATR6	HEATR6,TBC1D3P1,MIR4737,TBC1D3P1-DHX40P1,WFDC21P	5	1	NA	NA	NA
chr19	21972931	22975284	1002354	*	32071	0.92388762433351	669	32kb_92.4%				ZNF208,ZNF98,ZNF99,ZNF257,ZNF676,ZNF492,ZNF723,ZNF728,ZNF729	ZNF208,ZNF209P,ZNF98,ZNF99,ZNF257,ZNF676,ZNF492,LINC01785,PCGF7P,ZNF723,ZNF728,ZNF729,ZNF849P,RPL34P34,RPL34P33,VN1R85P,VN1R87P,VN1R88P,ZNF92P2,RN7SL860P,RNU6-1179P,BNIP3P28,BNIP3P29,BNIP3P30,BNIP3P31,BNIP3P32,BNIP3P33,BNIP3P34,BNIP3P35,LINC01233,GOLGA2P9,MTDHP5,RAD54L2P1	33	9	NA	NA	NA
chr22	20667586	22114615	1447030	*	3734	0.9732190680235672	669	4kb_97.3%	SNAP29,LZTR1,PI4KA	SNAP29,CRKL,SERPIND1,LZTR1,MAPK1,PI4KA	PI4KA,TOP3B	SDF2L1,SLC7A4,SNAP29,TOP3B,UBE2L3,YPEL1,HIC2,PPM1F,THAP7,CRKL,AIFM3,CCDC116,YDJC,TMEM191C,RIMBP3B,RIMBP3C,LRRC74B,GGT2,SERPIND1,FAM246A,LZTR1,MAPK1,P2RX6,PI4KA,PPIL2	BCRP2,BCRP5,SDF2L1,SLC7A4,SNAP29,TOP3B,UBE2L3,YPEL1,IGLVIV-66-1,HIC2,POM121L4P,PPM1F,THAP7,CRKL,TUBA3FP,TMEM191A,AIFM3,CCDC116,YDJC,MIR130B,MIR649,FAM230B,PI4KAP2,TMEM191C,MIR301B,RIMBP3B,RIMBP3C,ABHD17AP4,P2RX6P,LRRC74B,PRAMENP,POM121L7P,POM121L8P,BCRP6,PPM1F-AS1,THAP7-AS1,PPP1R26P5,GGT2,RNA5SP493,TUBA3GP,RN7SKP63,RN7SKP221,RN7SL280P,SERPIND1,E2F6P2,E2F6P3,LINC01637,LINC01651,FAM230H,FAM246A,FAM247A,IGLV1-62,IGLV10-54,IGLV10-67,IGLV4-69,IGLV8-61,IGLVI-63,IGLVI-68,IGLVI-70,IGLVIV-64,IGLVIV-65,IGLVV-66,LZTR1,MAPK1,P2RX6,PI4KA,PPIL2	67	25	22q11.2_LCRC-E	0	14.95
chr6	32061390	32067654	6265	*	1005	0.9333333333333333	668	1kb_93.3%	TNXB	TNXB		TNXB	TNXB	1	1	NA	NA	NA
chr16	18986112	22516258	3530147	*	11400	0.9619298245614035	668	11kb_96.2%	UQCRC2,ZP2,OTOA,COQ7	UMOD,UQCRC2,ZP2,OTOA,COQ7,CRYM,VPS35L	ZP2,OTOA,TMC5,CCP110,VPS35L,PDILT	ACSM3,UMOD,UQCRC2,ZP2,GPRC5B,OTOA,CDR2,ACSM1,GPR139,COQ7,TMC5,TMC7,THUMPD1,SYT17,CRYM,CCP110,METTL9,EEF2K,VPS35L,REXO5,LYRM1,ACSM5,ANKS4B,MOSMO,VWA3A,ITPRIPL2,PDILT,IQCK,DCUN1D3,PDZD9,NPIPB3,DNAH3,GDE1,TMEM159,POLR3E,ERI2,ACSM2B,ACSM2A,KNOP1,CLEC19A,SDR42E2,NPIPB5,NPIPB4,GP2,IGSF6	ACSM3,UMOD,UQCRC2,ZP2,GPRC5B,OTOA,CDR2,ACSM1,GPR139,COQ7,TMC5,TMC7,THUMPD1,SYT17,CRYM,CCP110,METTL9,EEF2K,VPS35L,REXO5,SLC7A5P2,LYRM1,ACSM5,ANKS4B,MOSMO,VWA3A,ITPRIPL2,PDILT,IQCK,DCUN1D3,PDZD9,NPIPB3,DNAH3,GDE1,TMEM159,POLR3E,ERI2,RRN3P1,ACSM2B,SNX29P1,ACSM2A,KNOP1,CRYM-AS1,CLEC19A,SDR42E2,NPIPB5,RRN3P3,MIR3680-1,NPIPB4,SNRPEP3,SMG1P1,GP2,RNU4-46P,RNU6-196P,RNU6-944P,RNU6-1005P,RNU6-1340P,LARP7P2,SMG1P3,SMG1P4,ACSM5P1,MFSD13B,LINC02858,IGSF6	64	45	NA	NA	NA
chr8	142873163	142910763	37601	*	6615	0.9304610733182161	668	7kb_93%	CYP11B1,CYP11B2	CYP11B1,CYP11B2		CYP11B1,CYP11B2,GML	CYP11B1,CYP11B2,GML	3	3	NA	NA	NA
chr1	155595776	155717702	121927	*	1327	0.93293142426526	667	1kb_93.3%	MSTO1,YY1AP1	MSTO1,YY1AP1		DAP3,MSTO1,YY1AP1	DAP3P1,DAP3,MSTO1,YY1AP1	4	3	NA	NA	NA
chr7	142061125	142090182	29058	*	9432	0.9289652247667515	667	9kb_92.9%				MGAM	MGAM	1	1	NA	NA	NA
chrX	101814017	102348194	534178	*	24066	0.9221723593451342	667	24kb_92.2%				TCEAL6,BEX5,ZMAT1,TCEAL2,TCP11X1,NXF2	TCEAL6,BEX5,ZMAT1,TCEAL2,MTND6P13,RNU6-345P,TCP11X1,TCP11X3P,H2BP8,C3orf49P1,NXF2,NXF5	12	6	NA	NA	NA
chr19	54752935	54819689	66755	*	55719	0.9057413090687199	667	56kb_90.6%				KIR3DP1,KIR2DP1,KIR2DL1,KIR2DL3,KIR2DL4,KIR3DL1	KIR3DP1,KIR2DP1,KIR2DL1,KIR2DL3,KIR2DL4,KIR3DL1	6	6	NA	NA	NA
chr5	141200414	141211731	11318	*	3147	0.9316809659993645	666	3kb_93.2%				PCDHB11,PCDHB12	PCDHB11,PCDHB12	2	2	NA	NA	NA
chr6	31283005	31364850	81846	*	3520	0.93125	666	4kb_93.1%				HLA-B	WASF5P,HLA-B,MIR6891,LINC02571	4	1	NA	NA	NA
chr11	55267895	55878192	610298	*	4535	0.9314222712238148	666	5kb_93.1%				OR4C6,OR4A15,OR4A16,OR4C11,OR4C15,OR4C16,OR4P4,OR4S2,OR5D13,OR5D14,OR5D16,OR5D18,TRIM48,OR5D3P,OR5L1,OR5L2	OR4V1P,OR4C6,OR4P1P,OR4A10P,OR4A11P,OR4A12P,OR4A13P,OR4A15,OR4A16,OR4A17P,OR4A21P,OR4A9P,OR4C11,OR4C14P,OR4C15,OR4C16,OR4P4,OR4S2,OR5D13,OR5D14,OR5D15P,OR5D16,OR5D17P,OR5D18,OR9M1P,TRIM48,OR4A50P,OR4X7P,TRIM51HP,OR4C1P,OR5D2P,OR5D3P,OR5L1,OR5L2	34	16	NA	NA	NA
chr13	29204378	29339598	135221	*	9699	0.9280338179193731	666	10kb_92.8%				MTUS2	MTUS2,MTUS2-AS2,GAPDHP69	3	1	NA	NA	NA
chr21	44538462	44578940	40479	*	1660	0.9319277108433734	666	2kb_93.2%	TSPEAR	TSPEAR		TSPEAR,KRTAP10-4,KRTAP10-1,KRTAP10-2,KRTAP10-3	TSPEAR,KRTAP10-4,KRTAP10-1,KRTAP10-2,KRTAP10-3	5	5	NA	NA	NA
chr6	167248102	167406740	158639	*	2173	0.931891394385642	666	2kb_93.2%				UNC93A,TTLL2	TCP10L3,UNC93A,TTLL2	3	2	NA	NA	NA
chrX	102649780	102710734	60955	*	4221	0.9303482587064676	665	4kb_93%				GPRASP1	GPRASP1,ARMCX5-GPRASP2,RNU6-589P,BEND7P1	4	1	NA	NA	NA
chr10	46211190	47558118	1346929	*	6457	0.9389809509059935	665	6kb_93.9%	RBP3	GDF2,RBP3		SYT15,ANXA8L1,PTPN20,AGAP9,ZNF488,FAM25G,GPRIN2,ANTXRL,GDF10,GDF2,ANXA8,NPY4R,RBP3	RHEBP1,FRMPD2B,SYT15,ANXA8L1,PTPN20,AGAP9,AGAP13P,ZNF488,FAM25BP,FAM25G,BMS1P1,BMS1P2,AGAP14P,GPRIN2,CTSLP3,ANTXRL,SHLD2P1,GDF10,GDF2,RNA5SP311,RNA5SP312,GLUD1P2,LINC00842,HNRNPA1P33,ANTXRLP1,RN7SL248P,LINC02637,FAM245B,ANXA8,NPY4R,RBP3	31	13	NA	NA	NA
chr12	52447066	52468938	21873	*	5329	0.9300056295740289	665	5kb_93%		KRT6C,KRT6B		KRT6C,KRT6B	KRT6C,KRT6B	2	2	NA	NA	NA
chr2	230309797	230400000	90204	*	7705	0.9280986372485399	664	8kb_92.8%			SP140,SP140L	SP140,SP140L	SP140,SP140L	2	2	NA	NA	NA
chr20	1567998	1601239	33242	*	14426	0.9250658533203937	664	14kb_92.5%				SIRPB1	SIRPB1	1	1	NA	NA	NA
chr4	69002769	69196107	193339	*	22135	0.9206234470295911	663	22kb_92.1%				UGT2B7	UGT2B26P,UGT2B27P,UGT2B7	3	1	NA	NA	NA
chr7	64055868	64322040	266173	*	30185	0.9167135994699354	663	30kb_91.7%				ZNF727,ZNF679,ZNF735,ZNF736	ZNF727,ZNF679,ZNF735,ZNF736,VN1R37P,VN1R38P,TRIM60P17,MTND1P2,MTND2P4,MTND3P2,MTND4P2,MTND4LP2,GUSBP6,SAPCD2P1,MTCO1P8,MTCO2P8,MTCO3P8,MTATP6P18	18	4	NA	NA	NA
chr5	141183803	141235798	51996	*	1063	0.9303857008466604	662	1kb_93%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB9	PCDHB16,PCDHB18P,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB9	8	7	NA	NA	NA
chr5	141224617	141235666	11050	*	1195	0.9305439330543933	662	1kb_93.1%				PCDHB14	PCDHB18P,PCDHB14	2	1	NA	NA	NA
chr18	10592127	11915093	1322967	*	7606	0.9510912437549304	662	8kb_95.1%	PIEZO2	PIEZO2,GNAL	PIEZO2	MPPE1,CHMP1B,PIEZO2,SLC35G4,GNAL	MPPE1,CHMP1B,PIEZO2,SLC35G4,CCDC58P1,NPIPB1P,GNAL,LINC01255,ASNSP6,MIR6788,MIR7153,LINC01887,LINC01928,CHMP1B-AS1,KIAA0895LP1,PMM2P1	16	5	NA	NA	NA
chr4	381997	486210	104214	*	3838	0.9283480979676915	661	4kb_92.8%	ZNF141	ZNF141		ZNF141,ZNF721	ZNF141,ZNF721,ABCA11P,ZNF519P4	4	2	NA	NA	NA
chr5	141174080	141210152	36073	*	6213	0.9274102687912442	661	6kb_92.7%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB7,PCDHB8,PCDHB9	PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB7,PCDHB8,PCDHB9	7	7	NA	NA	NA
chr19	52695059	52757221	62163	*	19552	0.9204684942716858	661	20kb_92%				ZNF611,ZNF600	ZNF611,ZNF600	2	2	NA	NA	NA
chr1	155591313	155712134	120822	*	2204	0.9287658802177858	660	2kb_92.9%	MSTO1,YY1AP1	MSTO1,YY1AP1		DAP3,MSTO1,YY1AP1	DAP3P1,DAP3,MSTO1,YY1AP1	4	3	NA	NA	NA
chr5	141101893	141237121	135229	*	2120	0.9287735849056604	660	2kb_92.9%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8,PCDHB9	PCDHB16,PCDHB17P,PCDHB18P,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8,PCDHB9	15	13	NA	NA	NA
chr1	92130598	92144854	14257	*	1126	0.9289520426287744	659	1kb_92.9%				BTBD8	BTBD8	1	1	NA	NA	NA
