seqnames	start	end	width	strand	length	identity	score	info	biallelic	omim_ddd	pRec	allgenescoding	allgenes	numallgenes	name	freq	freqCMA
chr11	71236932	71275193	38262	*	1888	0.941207627118644	684	2kb_94.1%				KRTAP5-7,KRTAP5-8,KRTAP5-9	KRTAP5-7,KRTAP5-8,KRTAP5-9	3	NA	NA	NA
chr19	22371450	23162871	791422	*	50060	0.9198162205353576	684	50kb_92%				ZNF98,ZNF99,ZNF676,ZNF492,ZNF728,ZNF729	ZNF209P,ZNF98,ZNF99,ZNF676,ZNF492,ZNF723,ZNF728,ZNF729,ZNF849P,RPL34P34,RPL34P33,VN1R87P,VN1R88P,RN7SL860P,RNU6-1179P	15	NA	NA	NA
chr17	18515267	20786487	2271221	*	13120	0.9544207317073171	683	13kb_95.4%	B9D1,ALDH3A2,GRAP	B9D1,ALDH3A2,GRAP	ULK2,SPECC1,FAM83G,MAPK7	FBXW10,RNF112,ULK2,EPN2,TVP23B,SLC5A10,B9D1,LGALS9B,SLC47A1,SLC47A2,TBC1D28,SPECC1,FAM83G,TRIM16L,ZNF286B,CCDC144NL,CDRT15L2,AKAP10,GRAPL,ALDH3A2,ALDH3A1,GRAP,MAPK7,MFAP4,PRPSAP2	SNORD3B-1,SCDP1,FBXW10,RNF112,ULK2,MEIS3P2,EPN2,TVP23B,KCTD9P1,SLC5A10,B9D1,COTL1P2,LGALS9B,SLC47A1,SLC47A2,CCDC144B,TBC1D28,CCDC144CP,SRP68P3,UPF3AP2,SPECC1,UBE2SP2,TBC1D3P3,FAM106B,FAM83G,SNORA59B,TRIM16L,SNORD3A,SNORD3B-2,SNORD3C,SNORD3D,ZNF286B,CCDC144NL,ABHD17AP6,CDRT15L2,TRNAQ41P,NOS2P3,MIR1180,RPS2P46,RPL17P43,AKAP10,GRAPL,KRT16P3,KRT16P5,FOXO3B,KYNUP1,KYNUP2,KYNUP3,HNRNPA1P19,ALDH3A2,ALDH3A1,EPN2-AS1,MTND1P14,MTND2P12,USP32P3,ZSWIM5P2,RNFT1P3,OLA1P2,GRAP,RN7SL17P,RN7SL627P,RNU6-258P,RNU6-1057P,YWHAEP3,MAPK7,MFAP4,PRPSAP2	67	NA	NA	NA
chr16	66968639	66981686	13048	*	2412	0.9402985074626866	683	2kb_94%				CES2	CES2	1	NA	NA	NA
chr3	129094501	129205562	111062	*	12193	0.934798654965964	682	12kb_93.5%	IFT122	IFT122	EFCAB12	IFT122,EFCAB12,MBD4	IFT122,RPL32P3,EFCAB12,SNORA7B,MBD4	5	NA	NA	NA
chr5	140531093	140563395	32303	*	1076	0.9405204460966543	682	1kb_94.1%				PCDHB16,PCDHB6,PCDHB7,PCDHB8	PCDHB16,PCDHB6,PCDHB7,PCDHB8	4	NA	NA	NA
chr7	65407605	65462702	55098	*	6317	0.9377869241728669	682	6kb_93.8%	GUSB	GUSB	GUSB	VKORC1L1,GUSB	VKORC1L1,GUSB	2	NA	NA	NA
chr7	30324350	32767561	2443212	*	14567	0.9551040021967461	682	15kb_95.5%	GHRHR	GARS,GHRHR,PDE1C	AVL9,PDE1C	NEUROD6,NOD1,PPP1R17,LSM5,GGCT,FAM188B,ZNRF2,CRHR2,ADCYAP1R1,CCDC129,AVL9,GARS,INMT-FAM188B,GHRHR,INMT,AQP1,PDE1C	NEUROD6,NOD1,PPP1R17,LSM5,GGCT,FAM188B,ZNRF2,DPY19L1P1,CRHR2,ADCYAP1R1,CCDC129,AVL9,MIR550A1,SNX2P2,GARS,INMT-FAM188B,GHRHR,SLC25A5P5,INMT,AQP1,PDE1C	21	NA	NA	NA
chr9	5318053	5393023	74971	*	10769	0.9352771845110966	682	11kb_93.5%				RLN1,PLGRKT	RLN1,PLGRKT	2	NA	NA	NA
chrX	6446755	8133194	1686440	*	8494	0.950200141276195	682	8kb_95%		STS		STS,VCX,HDHD1,VCX3A,PNPLA4	STS,VCX,HDHD1,VCX3A,PNPLA4,MIR651,MIR4767	7	Xp22.31	1220	508.2
chr19	11945444	12008941	63498	*	30630	0.9256937642833823	682	31kb_92.6%				ZNF69,ZNF439,ZNF440	ZNF69,ZNF439,ZNF440	3	NA	NA	NA
chr1	180936856	181029363	92508	*	2026	0.93928923988154	681	2kb_93.9%				STX6,MR1	STX6,MR1	2	NA	NA	NA
chr5	140502778	140556211	53434	*	2219	0.9396124380351509	681	2kb_94%				PCDHB4,PCDHB5,PCDHB6,PCDHB7	PCDHB4,PCDHB5,PCDHB6,PCDHB7	4	NA	NA	NA
chr7	143444071	143876573	432503	*	1626	0.939729397293973	681	2kb_94%				OR2A12,OR2A14,OR2A25,FAM115A,CTAGE6,OR2A2,OR2A5,OR2F1,OR2F2,OR6B1	OR2A12,OR2A13P,OR2A14,OR2A15P,OR2A25,FAM115A,CTAGE6,OR2A41P,OR2AO1P,FAM115D,PAICSP6,RNU6-267P,SLC16A1P1,OR2A2,OR2A3P,OR2A5,OR2F1,OR2F2,OR2Q1P,OR6B1	20	NA	NA	NA
chr4	38798139	38828766	30628	*	1032	0.939922480620155	681	1kb_94%				TLR1,TLR6	TLR1,TLR6	2	NA	NA	NA
chr3	185626972	185708474	81503	*	1164	0.9544673539518901	680	1kb_95.4%				TRA2B	TRA2B,RN7SL637P	2	NA	NA	NA
chr5	140475624	140617776	142153	*	2107	0.9387755102040817	680	2kb_93.9%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB2,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8	PCDHB16,PCDHB18,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB2,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8,PCDHB9	15	NA	NA	NA
chr5	140556167	140626382	70216	*	2074	0.9387656702025072	680	2kb_93.9%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15,PCDHB8	PCDHB16,PCDHB18,PCDHB19P,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15,PCDHB8,PCDHB9	11	NA	NA	NA
chr5	140580522	140626321	45800	*	1123	0.9394479073909172	680	1kb_93.9%				PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15	PCDHB18,PCDHB19P,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15	7	NA	NA	NA
chr12	27216911	27728880	511970	*	7078	0.9415089008194405	680	7kb_94.2%			PPFIBP1	MED21,STK38L,ARNTL2,SMCO2,C12orf71,PPFIBP1	MED21,STK38L,ARNTL2,SMCO2,C12orf71,PPFIBP1	6	NA	NA	NA
chr16	28397961	29432953	1034993	*	102070	0.9801606740472225	680	102kb_98%	TUFM,CD19,LAT,CLN3,ATP2A1	TUFM,CD19,LAT,CLN3,ATP2A1	APOBR,RABEP2	SULT1A1,SULT1A2,TUFM,CD19,LAT,IL27,CLN3,APOBR,RABEP2,CCDC101,NFATC2IP,EIF3CL,NUPR1,SH2B1,SPNS1,ATXN2L,EIF3C,NPIPB7,NPIPB11,NPIPB8,NPIPB9,ATP2A1	SULT1A1,SULT1A2,TUFM,CD19,LAT,IL27,CLN3,APOBR,RABEP2,CCDC101,NFATC2IP,EIF3CL,NUPR1,SH2B1,SPNS1,ATXN2L,SNX29P2,EIF3C,NPIPB7,CDC37P1,NPIPB11,NPIPB8,RRN3P2,MIR4721,MIR4517,NPIPB9,ATP2A1	27	NA	NA	NA
chr5	140556147	140580575	24429	*	2159	0.9383974062065771	679	2kb_93.8%				PCDHB16,PCDHB10,PCDHB11,PCDHB8	PCDHB16,PCDHB10,PCDHB11,PCDHB8,PCDHB9	5	NA	NA	NA
chr5	140563385	140580598	17214	*	1064	0.9389097744360902	679	1kb_93.9%				PCDHB16,PCDHB10,PCDHB11	PCDHB16,PCDHB10,PCDHB11,PCDHB9	4	NA	NA	NA
chr10	36248433	37691431	1442999	*	45577	0.9267174232617329	678	46kb_92.7%				ANKRD30A,NAMPTL	ANKRD30A,NAMPTL,VN1R53P,ATP8A2P1,MTND4P18,MTND5P17,MKNK2P1,ARL6IP1P2,TMEM161BP1,RN7SL314P,RNU6-811P,LINC00993	12	NA	NA	NA
chr19	46717074	46736231	19158	*	2572	0.937402799377916	678	3kb_93.7%				IGFL1	IGFL1,RPL12P41	2	NA	NA	NA
chr5	140573349	140615350	42002	*	1079	0.93790546802595	677	1kb_93.8%				PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14	PCDHB18,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14	6	NA	NA	NA
chr2	109301737	110584462	1282726	*	81927	0.9802873289635895	676	82kb_98%	EDAR	EDAR,RANBP2		SEPT10,SH3RF3,SOWAHC,CCDC138,EDAR,RGPD5,LIMS1,RANBP2	SEPT10,SH3RF3,SOWAHC,CCDC138,EDAR,RGPD5,RPL22P11,MIR4266,MIR4265,SNRPGP9,SH3RF3-AS1,BMS1P19,LIMS1,RANBP2	14	NA	NA	NA
chr16	32112511	34173150	2060640	*	4913	0.9531854264197028	676	5kb_95.3%				TP53TG3,TP53TG3B,TP53TG3C,TP53TG3D	SLC6A10P,TP53TG3,TP53TG3B,PABPC1P13,LINC00273,ACTR3BP3,HERC2P8,PCMTD1P2,RNA5-8SP2,TP53TG3C,TP53TG3D,ARHGAP23P1,ENPP7P13,HERC2P4,HERC2P5,BMS1P8,IGHV1OR16-2,IGHV1OR16-4,IGHV2OR16-5,IGHV3OR16-10,IGHV3OR16-11,IGHV3OR16-12,IGHV3OR16-13,IGHV3OR16-15,IGHV3OR16-16,IGHV3OR16-6,IGHV3OR16-7,IGHV3OR16-8,ABCD1P3	29	NA	NA	NA
chr20	23728592	23870817	142226	*	5116	0.9353010164190774	676	5kb_93.5%				CST1,CST2,CST5	CST1,CST2,CST5	3	NA	NA	NA
chr5	140502693	140573241	70549	*	1187	0.93681550126369	675	1kb_93.7%				PCDHB16,PCDHB10,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8	PCDHB16,PCDHB10,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8,PCDHB9	8	NA	NA	NA
chr5	140502768	140563325	60558	*	1115	0.9372197309417041	675	1kb_93.7%				PCDHB16,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8	PCDHB16,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8	6	NA	NA	NA
chr6	32017039	32035430	18392	*	1015	0.9369458128078818	675	1kb_93.7%	TNXB	TNXB		TNXB	TNXB	1	NA	NA	NA
chr6	32017054	32023635	6582	*	1913	0.9362258233141663	674	2kb_93.6%	TNXB	TNXB		TNXB	TNXB	1	NA	NA	NA
chr10	48980057	52467445	3487389	*	3817	0.9879486507728583	674	4kb_98.8%	SLC18A3,CHAT,PGBD3,ERCC6,ERCC6-PGBD3	SLC18A3,CHAT,PGBD3,ERCC6,ERCC6-PGBD3	FAM21A,OGDHL,C10orf71,ERCC6,NCOA4	SLC18A3,TIMM23,ASAH2,CHAT,PGBD3,FAM170B,DRGX,LRRC18,FAM21A,FAM21D,AGAP8,AGAP7,AGAP6,TIMM23B,FAM25C,OGDHL,VSTM4,C10orf71,C10orf128,C10orf53,FRMPD2,WDFY4,SGMS1,ARHGAP22,ERCC6,ERCC6-PGBD3,MAPK8,MSMB,NCOA4,PARG	SLC18A3,SLC9A3P1,TIMM23,ASAH2,CHAT,PGBD3,FAM170B,DRGX,LRRC18,FAM21A,FAM21D,PTPN20CP,AGAP8,AGAP7,AGAP6,TIMM23B,FAM25C,FAM25D,CTSLP4,BMS1P7,CTGLF12P,CTSLP3,OGDHL,VSTM4,C10orf71,C10orf128,C10orf53,FRMPD2,WDFY4,SGMS1,ARHGAP22,SLC9A3P3,ERCC6,MIR4294,ARHGAP22-IT1,RNA5SP315,RNA5SP316,RNA5SP317,GLUD1P2,FAM35EP,FAM170B-AS1,C10orf71-AS1,PARGP1,LINC00843,DYNC1I2P1,NUTM2HP,RNU7-107P,RN7SL527P,RMRPP4,ERCC6-PGBD3,MAPK8,MSMB,NCOA4,PARG	54	NA	NA	NA
chr19	22155450	22362278	206829	*	34997	0.9196216818584451	674	35kb_92%				ZNF208,ZNF257,ZNF676	ZNF208,ZNF257,ZNF676,PCGF7P,VN1R85P,ZNF92P2	6	NA	NA	NA
chr8	7428839	12191273	4762435	*	458116	0.9589165189602633	673	458kb_95.9%	RP1L1,FDFT1	BLK,RP1L1,FDFT1,GATA4	MTMR9	BLK,TNKS,MTMR9,PPP1R3B,SLC35G5,C8orf12,FAM167A,RP1L1,DEFB103A,MFHAS1,CLDN23,DEFB107A,DEFB105A,DEFB106A,DEFB130,DEFB104A,SOX7,NEIL2,ERI1,CTSB,DEFB4A,XKR6,FAM86B1,PINX1,PRSS55,C8orf49,ZNF705B,C8orf74,DEFB134,DEFB135,ZNF705D,SPAG11A,DEFB136,USP17L2,FDFT1,GATA4,PRR23D2,MSRA	RNU7-55P,BLK,TNKS,MTMR9,OR7E96P,PPP1R3B,LINC00208,LINC00529,SLC35G5,TDH,C8orf12,FAM167A,RP1L1,DEFB103A,MFHAS1,CLDN23,FAM85A,DEFB107A,DEFB105A,DEFB106A,DEFB108P1,DEFB130,DEFB104A,SOX7,FAM66E,NEIL2,ERI1,FAM66D,CTSB,DEFB108P3,LINC00599,DEFB4A,XKR6,FAM86B1,PINX1,PRSS55,DEFB109P3,OR7E157P,OR7E158P,OR7E160P,OR7E161P,OR7E154P,FAM85B,C8orf49,FAM90A2P,FAM90A8P,FAM90A9P,FAM90A10P,FAM90A11P,FAM90A12P,FAM90A14P,FAM90A16P,FAM90A17P,FAM90A18P,FAM90A19P,FAM90A21P,FAM90A22P,FAM90A23P,FAM90A24P,ZNF705B,C8orf74,SUB1P1,DEFB134,DEFB135,MIR597,MIR598,ZNF705D,SPAG11A,DEFB136,USP17L2,MIR548I3,FDFT1,RPL19P13,USP17L3,USP17L7,USP17L8,PRSS51,MIR4286,GATA4,MIR4660,RNA5SP252,RNA5SP253,RNA5SP254,FAM86B3P,ALG1L11P,ALG1L13P,RN7SL178P,RN7SL293P,RNU6-526P,RNU6-682P,RNU6-729P,RNU6-1084P,RNU6-1151P,ENPP7P12,ENPP7P1,PRR23D2,HSPD1P2,MSRA	98	8p23.1	10.08	134.5
chr19	22118718	23117196	998479	*	20979	0.9313599313599313	673	21kb_93.1%				ZNF208,ZNF98,ZNF99,ZNF257,ZNF676,ZNF492,ZNF729	ZNF208,ZNF209P,ZNF98,ZNF99,ZNF257,ZNF676,ZNF492,PCGF7P,ZNF723,ZNF729,ZNF849P,RPL34P34,RPL34P33,VN1R85P,VN1R87P,VN1R88P,ZNF92P2,RN7SL860P,RNU6-1179P	19	NA	NA	NA
chr5	140568113	140615348	47236	*	1085	0.9354838709677419	672	1kb_93.5%				PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14	PCDHB18,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB9	7	NA	NA	NA
chr7	134209672	134244393	34722	*	20436	0.9258661186142102	672	20kb_92.6%				AKR1B15,AKR1B10	AKR1B15,AKR1B10	2	NA	NA	NA
chr7	32818467	34912078	2093612	*	26169	0.9555198899461195	672	26kb_95.6%	NT5C3A,BMPER,BBS9	RP9,NT5C3A,BMPER,BBS9	BMPER,AVL9	RP9,NT5C3A,KBTBD2,NPSR1,BMPER,AVL9,BBS9,FKBP9	RP9,NT5C3A,KBTBD2,NPSR1-AS1,DPY19L1P2,NPSR1,BMPER,AVL9,BBS9,RP9P,RPL7P31,FKBP9,RNA5SP229,NCAPD2P1,RN7SL132P,RN7SL505P,RNU6-388P,RNU6-438P	18	NA	NA	NA
chr12	7949211	8054793	105583	*	2762	0.9344677769732078	672	3kb_93.4%				SLC2A14	SLC2A14,NANOGP1	2	NA	NA	NA
chr16	3102158	3121791	19634	*	4659	0.9336767546683837	672	5kb_93.4%				MMP25,IL32	MMP25,IL32,RNU1-125P	3	NA	NA	NA
chr2	178415476	178481414	65939	*	2703	0.9341472438031817	671	3kb_93.4%				TTC30A,TTC30B	TTC30A,TTC30B	2	NA	NA	NA
chr2	233193728	233305992	112265	*	8829	0.9358930796239665	671	9kb_93.6%	DIS3L2	DIS3L2		DIS3L2,ALPP,ALPPL2	ECEL1P3,ECEL1P2,DIS3L2,ALPP,ALPPL2	5	NA	NA	NA
chr5	140556169	140615379	59211	*	2094	0.934574976122254	671	2kb_93.5%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB8	PCDHB16,PCDHB18,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB8,PCDHB9	9	NA	NA	NA
chr5	140592144	140626370	34227	*	2133	0.9343647444913268	671	2kb_93.4%				PCDHB13,PCDHB14,PCDHB15	PCDHB18,PCDHB19P,PCDHB13,PCDHB14,PCDHB15	5	NA	NA	NA
chr19	53317525	53354207	36683	*	7987	0.9315137097783899	671	8kb_93.2%				ZNF28,ZNF468	ZNF28,ZNF468	2	NA	NA	NA
chr5	140481326	140530925	49600	*	1229	0.934092758340114	669	1kb_93.4%				PCDHB3,PCDHB4,PCDHB5,PCDHB6	PCDHB3,PCDHB4,PCDHB5,PCDHB6	4	NA	NA	NA
chr16	15480716	15505412	24697	*	5412	0.9318181818181818	669	5kb_93.2%				MPV17L	MPV17L	1	NA	NA	NA
chr17	58081914	58173608	91695	*	1320	0.9340909090909091	669	1kb_93.4%				HEATR6	HEATR6,TBC1D3P1,MIR4737,TBC1D3P1-DHX40P1	4	NA	NA	NA
chr19	22155733	23158086	1002354	*	32071	0.92388762433351	669	32kb_92.4%				ZNF208,ZNF98,ZNF99,ZNF257,ZNF676,ZNF492,ZNF729	ZNF208,ZNF209P,ZNF98,ZNF99,ZNF257,ZNF676,ZNF492,PCGF7P,ZNF723,ZNF729,ZNF849P,RPL34P34,RPL34P33,VN1R85P,VN1R87P,VN1R88P,ZNF92P2,RN7SL860P,RNU6-1179P	19	NA	NA	NA
chr6	32029167	32035431	6265	*	1005	0.9333333333333333	668	1kb_93.3%	TNXB	TNXB		TNXB	TNXB	1	NA	NA	NA
chr16	18997479	22528480	3531002	*	11400	0.9619298245614035	668	11kb_96.2%	UQCRC2,ZP2,OTOA,COQ7	UMOD,UQCRC2,ZP2,OTOA,COQ7,CRYM,C16orf62	ZP2,OTOA,TMC5,CCP110,C16orf62,PDILT	ACSM3,UMOD,UQCRC2,ZP2,GPRC5B,OTOA,CDR2,ACSM1,GPR139,COQ7,TMC5,TMC7,THUMPD1,SYT17,CRYM,CCP110,METTL9,EEF2K,C16orf62,LYRM1,ACSM5,ANKS4B,C16orf52,VWA3A,ITPRIPL2,PDILT,IQCK,DCUN1D3,PDZD9,NPIPB3,DNAH3,GDE1,TMEM159,POLR3E,ERI2,ACSM2B,ACSM2A,KNOP1,CLEC19A,SDR42E2,NPIPB5,NPIPB4,GP2,IGSF6	ACSM3,UMOD,UQCRC2,ZP2,GPRC5B,OTOA,CDR2,ACSM1,GPR139,COQ7,TMC5,TMC7,THUMPD1,SYT17,CRYM,CCP110,METTL9,EEF2K,C16orf62,SLC7A5P2,LYRM1,ACSM5,ANKS4B,C16orf52,VWA3A,ITPRIPL2,PDILT,IQCK,DCUN1D3,PDZD9,NPIPB3,DNAH3,GDE1,TMEM159,POLR3E,ERI2,RRN3P1,ACSM2B,SNX29P1,ACSM2A,KNOP1,CRYM-AS1,CLEC19A,SDR42E2,NPIPB5,RRN3P3,MIR3680-1,NPIPB4,SNRPEP3,MIR3680-2,SMG1P1,GP2,RNU4-46P,RNU6-196P,RNU6-944P,RNU6-1005P,RNU6-1340P,IGSF6	58	NA	NA	NA
chr8	143954579	143992179	37601	*	6615	0.9304610733182161	668	7kb_93%	CYP11B1,CYP11B2	CYP11B1,CYP11B2		CYP11B1,CYP11B2,GML	CYP11B1,CYP11B2,GML	3	NA	NA	NA
chr1	155565567	155687493	121927	*	1327	0.93293142426526	667	1kb_93.3%	YY1AP1	MSTO1,YY1AP1		DAP3,MSTO1,YY1AP1	DAP3P1,MSTO2P,DAP3,MSTO1,YY1AP1	5	NA	NA	NA
chr5	140553670	140563388	9719	*	1059	0.9329556185080264	667	1kb_93.3%				PCDHB16,PCDHB7,PCDHB8	PCDHB16,PCDHB7,PCDHB8	3	NA	NA	NA
chr7	141760925	141789982	29058	*	9432	0.9289652247667515	667	9kb_92.9%				MGAM	MGAM	1	NA	NA	NA
chrX	101062634	101599386	536753	*	24065	0.9221691252856846	667	24kb_92.2%				TCEAL6,BEX5,ZMAT1,TCEAL2,TCP11X1,NXF2,NXF5	TCEAL6,BEX5,ZMAT1,TCEAL2,MTND6P13,RNU6-345P,TCP11X1,TCP11X3P,NXF2,NXF5	10	NA	NA	NA
chr18	44542076	44553918	11843	*	7759	0.9293723417966233	667	8kb_92.9%				KATNAL2,TCEB3CL,TCEB3CL2	KATNAL2,TCEB3CL,TCEB3CL2	3	NA	NA	NA
chr22	21021884	22469042	1447159	*	3676	0.9719804134929271	667	4kb_97.2%	SNAP29,LZTR1,PI4KA	SNAP29,CRKL,SERPIND1,LZTR1,MAPK1,PI4KA	PI4KA,PPIL2,TOP3B	SDF2L1,SLC7A4,SNAP29,TOP3B,UBE2L3,YPEL1,HIC2,PPM1F,THAP7,CRKL,AIFM3,CCDC116,YDJC,RIMBP3B,RIMBP3C,POM121L7,GGT2,SERPIND1,LZTR1,MAPK1,P2RX6,PI4KA,PPIL2	BCRP2,BCRP5,SDF2L1,SLC7A4,SNAP29,TOP3B,UBE2L3,YPEL1,IGLVIV-66-1,HIC2,POM121L4P,PPM1F,THAP7,CRKL,TUBA3FP,FAM230C,TMEM191A,AIFM3,CCDC116,YDJC,MIR130B,MIR649,FAM230B,PI4KAP2,TMEM191C,MIR301B,RIMBP3B,RIMBP3C,ABHD17AP4,P2RX6P,PRAMENP,POM121L7,POM121L8P,BCRP6,THAP7-AS1,PPP1R26P5,GGT2,RNA5SP493,TUBA3GP,RN7SKP63,RN7SKP221,RN7SL280P,RN7SL389P,SERPIND1,IGLV1-62,IGLV10-67,IGLV4-69,IGLV8-61,IGLVI-63,IGLVI-68,IGLVI-70,IGLVIV-64,IGLVIV-65,IGLVV-66,LZTR1,MAPK1,P2RX6,PI4KA,PPIL2	59	22q11.2_LCRC-E	0	14.95
chr11	55035371	55645668	610298	*	4535	0.9314222712238148	666	5kb_93.1%				OR4C6,OR4A15,OR4A16,OR4C11,OR4C15,OR4C16,OR4P4,OR4S2,OR5D13,OR5D14,OR5D16,OR5D18,TRIM48,OR5L1,OR5L2	OR4V1P,OR4C6,OR4P1P,OR4A10P,OR4A11P,OR4A12P,OR4A13P,OR4A14P,OR4A15,OR4A16,OR4A17P,OR4A21P,OR4A9P,OR4C11,OR4C14P,OR4C15,OR4C16,OR4P4,OR4S2,OR5D13,OR5D14,OR5D15P,OR5D16,OR5D17P,OR5D18,OR9M1P,TRIM48,OR4A50P,OR4X7P,TRIM51HP,OR4C1P,OR5D2P,OR5D3P,OR5L1,OR5L2	35	NA	NA	NA
chr13	29778515	29913735	135221	*	9699	0.9280338179193731	666	10kb_92.8%				MTUS2	MTUS2,MTUS2-AS2,GAPDHP69	3	NA	NA	NA
chr21	45958345	45998817	40473	*	1659	0.9318866787221217	666	2kb_93.2%	TSPEAR	TSPEAR		TSPEAR,KRTAP10-4,KRTAP10-1,KRTAP10-2,KRTAP10-3	TSPEAR,KRTAP10-4,KRTAP10-1,KRTAP10-2,KRTAP10-3	5	NA	NA	NA
chr22	39426539	39465239	38701	*	11227	0.927496214482943	666	11kb_92.7%				APOBEC3D,APOBEC3F,APOBEC3G	APOBEC3D,APOBEC3F,APOBEC3G	3	NA	NA	NA
chr6	167661590	167820228	158639	*	2173	0.931891394385642	666	2kb_93.2%				TCP10,UNC93A,TTLL2	TCP10,UNC93A,TTLL2	3	NA	NA	NA
chr2	233188580	233267930	79351	*	6731	0.9340365473183777	665	7kb_93.4%	DIS3L2	DIS3L2		DIS3L2,ALPP	ECEL1P3,ECEL1P2,DIS3L2,ALPP	4	NA	NA	NA
chr7	63516246	63782418	266173	*	21535	0.9217088460645461	665	22kb_92.2%				ZNF727,ZNF679,ZNF736	ZNF727,ZNF679,ZNF736,VN1R37P,VN1R38P,TRIM60P17,MTND1P2,MTND2P4,MTND3P2,MTND4P2,GUSBP6	11	NA	NA	NA
chrX	101904708	101965662	60955	*	4221	0.9303482587064676	665	4kb_93%				GPRASP1	GPRASP1,RNU6-589P	2	NA	NA	NA
chr12	52840850	52862722	21873	*	5329	0.9300056295740289	665	5kb_93%		KRT6C,KRT6B		KRT6C,KRT6B	KRT6C,KRT6B	2	NA	NA	NA
chr5	140563378	140615370	51993	*	1063	0.9313264346190028	664	1kb_93.1%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14	PCDHB16,PCDHB18,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB9	8	NA	NA	NA
chr4	69864698	70052889	188192	*	22910	0.91972937581842	662	23kb_92%				UGT2B7	UGT2B7	1	NA	NA	NA
chr5	140604189	140615238	11050	*	1195	0.9305439330543933	662	1kb_93.1%				PCDHB14	PCDHB18,PCDHB14	2	NA	NA	NA
chr15	28781988	30738706	1956719	*	160064	0.9419919532187125	662	160kb_94.2%	NDNL2	NDNL2		TJP1,CHRFAM7A,FAM189A1,GOLGA8J,GOLGA8M,GOLGA8R,GOLGA8T,APBA2,NDNL2	TJP1,ULK4P3,CHRFAM7A,FAM189A1,HERC2P9,WHAMMP2,HMGN2P5,RNU6-17P,DNM1P28,DNM1P30,GOLGA6L7P,GOLGA8J,TUBBP8,GOLGA8M,GOLGA8R,GOLGA8T,RN7SL196P,RN7SL469P,RN7SL673P,RN7SL719P,APBA2,NDNL2	22	15q11q13_BP3-BP4	35.29	134.5
chr18	10591587	11914362	1322776	*	7606	0.9510912437549304	662	8kb_95.1%	PIEZO2	PIEZO2,GNAL	PIEZO2	MPPE1,CHMP1B,PIEZO2,GNAL	MPPE1,CHMP1B,PIEZO2,CCDC58P1,NPIPB1P,GNAL,PMM2P1	7	NA	NA	NA
chr2	234518581	234537348	18768	*	11361	0.9251826423730305	661	11kb_92.5%	UGT1A8	UGT1A8		UGT1A8	UGT1A8	1	NA	NA	NA
chr4	375786	479999	104214	*	3838	0.9283480979676915	661	4kb_92.8%	ZNF141	ZNF141		ZNF141,ZNF721	ZNF141,ZNF721,ABCA11P	3	NA	NA	NA
chr5	140553661	140589724	36064	*	6213	0.9274102687912442	661	6kb_92.7%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB7,PCDHB8	PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB7,PCDHB8,PCDHB9	7	NA	NA	NA
chr1	155561104	155681925	120822	*	2204	0.9287658802177858	660	2kb_92.9%	YY1AP1	MSTO1,YY1AP1		DAP3,MSTO1,YY1AP1	DAP3P1,MSTO2P,DAP3,MSTO1,YY1AP1	5	NA	NA	NA
chr5	140481472	140617729	136258	*	2120	0.9287735849056604	660	2kb_92.9%				PCDHB16,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8	PCDHB16,PCDHB18,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8,PCDHB9	14	NA	NA	NA
chr1	92596155	92610411	14257	*	1126	0.9289520426287744	659	1kb_92.9%				BTBD8	BTBD8	1	NA	NA	NA
